SEQ='P '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114869910.2    NPRNT= 6
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P2             (3)1( 0.0)        0.0 
     2          3S2 3P2             (3)1( 1.0)      712.9 
     3          3S2 3P2             (3)1( 2.0)     1973.7 
     4          3S2 3P2             (1)2( 2.0)    19652.7 
     5          3S2 3P2             (1)0( 0.0)    58822.6 
     6          3S1 3P3             (5)0( 2.0)    81068.6 

   PARENT CONFG INDEXING                BWNP= 114858637.3    NPRNT= 3
   ---------------------
   INDP         CODE                       WI        WNP
   ----         ----                 --------  ----------
     1          3S2 3P2             (     7.0)        0.0 
     2          3S1 3P3             (    19.5)   141391.8 
     3          3S2 3P1 3D1         (    29.5)   211360.8 

   IC AVERAGED CONFG INDEXING           BWNR= 115082269.0   NCFG=  10
   --------------------------
   INDX  INDP   CODE                       WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 --------  ----------      -----------
     1     1    3S2 3P2 4S1         (    14.5)        0.0      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     2     1    3S2 3P2 4P1         (    44.5)    37278.8      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     3     1    3S2 3P2 4D1         (    74.5)    87747.7      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     4     1    3S2 3P2 4F1         (   104.5)   110916.3      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     5     2    3S1 3P3 4S1         (    34.5)   130310.8      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     6     2    3S1 3P3 4P1         (    86.5)   151666.2      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     7     2    3S1 3P3 4F1         (    34.5)   181757.2      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     8     3    3S2 3P1 3D1 4S1     (    25.5)   182487.9      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     9     2    3S1 3P3 4D1         (    99.5)   191431.1      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    10     3    3S2 3P1 3D1 4P1     (    14.5)   193904.5      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 

   NL-SHELL INDEXING & AUGER RATES                     NLREP=203
   -------------------------------
   ILREP   N   L
   -----   -   -
     1     1   0
     2     2   0
     3     2   1
     4     3   0
     5     3   1
     6     3   2
     7     4   0
     8     4   1
     9     4   2
    10     4   3
    11     5   0
    12     5   1
    13     5   2
    14     5   3
    15     5   4
    16     6   0
    17     6   1
    18     6   2
    19     6   3
    20     6   4
    21     6   5
    22     7   0
    23     7   1
    24     7   2
    25     7   3
    26     7   4
    27     7   5
    28     7   6
    29     8   0
    30     8   1
    31     8   2
    32     8   3
    33     8   4
    34     8   5
    35     8   6
    36     9   0
    37     9   1
    38     9   2
    39     9   3
    40     9   4
    41     9   5
    42     9   6
    43    10   0
    44    10   1
    45    10   2
    46    10   3
    47    10   4
    48    10   5
    49    10   6
    50    11   0
    51    11   1
    52    11   2
    53    11   3
    54    11   4
    55    11   5
    56    11   6
    57    12   0
    58    12   1
    59    12   2
    60    12   3
    61    12   4
    62    12   5
    63    12   6
    64    13   0
    65    13   1
    66    13   2
    67    13   3
    68    13   4
    69    13   5
    70    13   6
    71    14   0
    72    14   1
    73    14   2
    74    14   3
    75    14   4
    76    14   5
    77    14   6
    78    15   0
    79    15   1
    80    15   2
    81    15   3
    82    15   4
    83    15   5
    84    15   6
    85    16   0
    86    16   1
    87    16   2
    88    16   3
    89    16   4
    90    16   5
    91    16   6
    92    17   0
    93    17   1
    94    17   2
    95    17   3
    96    17   4
    97    17   5
    98    17   6
    99    18   0
   100    18   1
   101    18   2
   102    18   3
   103    18   4
   104    18   5
   105    18   6
   106    19   0
   107    19   1
   108    19   2
   109    19   3
   110    19   4
   111    19   5
   112    19   6
   113    20   0
   114    20   1
   115    20   2
   116    20   3
   117    20   4
   118    20   5
   119    20   6
   120    21   0
   121    21   1
   122    21   2
   123    21   3
   124    21   4
   125    21   5
   126    21   6
   127    22   0
   128    22   1
   129    22   2
   130    22   3
   131    22   4
   132    22   5
   133    22   6
   134    23   0
   135    23   1
   136    23   2
   137    23   3
   138    23   4
   139    23   5
   140    23   6
   141    24   0
   142    24   1
   143    24   2
   144    24   3
   145    24   4
   146    24   5
   147    24   6
   148    25   0
   149    25   1
   150    25   2
   151    25   3
   152    25   4
   153    25   5
   154    25   6
   155    32   0
   156    32   1
   157    32   2
   158    32   3
   159    32   4
   160    32   5
   161    32   6
   162    39   0
   163    39   1
   164    39   2
   165    39   3
   166    39   4
   167    39   5
   168    39   6
   169    47   0
   170    47   1
   171    47   2
   172    47   3
   173    47   4
   174    47   5
   175    47   6
   176    57   0
   177    57   1
   178    57   2
   179    57   3
   180    57   4
   181    57   5
   182    57   6
   183    70   0
   184    70   1
   185    70   2
   186    70   3
